"STATISTIC","Statistic Label","C03514V04244","Electoral Division","TLIST(A1)","Year","UNIT","VALUE"
"IIA10","Median earned income per person working","02052","052 Finglas North B, Dublin City","2016","2016","Euro","34581"
"IIA10","Median earned income per person working","02053","053 Finglas North C, Dublin City","2016","2016","Euro","31136"
"IIA10","Median earned income per person working","02054","054 Finglas South A, Dublin City","2016","2016","Euro","30056"
"IIA10","Median earned income per person working","02055","055 Finglas South B, Dublin City","2016","2016","Euro","26332"
"IIA10","Median earned income per person working","02056","056 Finglas South C, Dublin City","2016","2016","Euro",""
"IIA10","Median earned income per person working","02057","057 Finglas South D, Dublin City","2016","2016","Euro","41390"
"IIA10","Median earned income per person working","02058","058 Grace Park, Dublin City","2016","2016","Euro","30788"
"IIA10","Median earned income per person working","02059","059 Grange A, Dublin City","2016","2016","Euro","24853"
"IIA10","Median earned income per person working","02060","060 Grange B, Dublin City","2016","2016","Euro","28874"
"IIA10","Median earned income per person working","02061","061 Grange C, Dublin City","2016","2016","Euro","20337"
"IIA10","Median earned income per person working","02062","062 Grange D, Dublin City","2016","2016","Euro","27892"
"IIA10","Median earned income per person working","02063","063 Grange E, Dublin City","2016","2016","Euro","24362"
"IIA10","Median earned income per person working","02064","064 Harmonstown A, Dublin City","2016","2016","Euro","31637"
"IIA10","Median earned income per person working","02065","065 Harmonstown B, Dublin City","2016","2016","Euro","32309"
"IIA10","Median earned income per person working","02066","066 Inns Quay A, Dublin City","2016","2016","Euro","47954"
"IIA10","Median earned income per person working","02067","067 Inns Quay B, Dublin City","2016","2016","Euro","30000"
"IIA10","Median earned income per person working","02068","068 Inns Quay C, Dublin City","2016","2016","Euro","37028"
"IIA10","Median earned income per person working","02069","069 Kilmore A, Dublin City","2016","2016","Euro","19666"
"IIA10","Median earned income per person working","02070","070 Kilmore B, Dublin City","2016","2016","Euro","36619"
"IIA10","Median earned income per person working","02071","071 Kilmore C, Dublin City","2016","2016","Euro","35000"
"IIA10","Median earned income per person working","02072","072 Kilmore D, Dublin City","2016","2016","Euro","35255"
"IIA10","Median earned income per person working","02073","073 Mountjoy A, Dublin City","2016","2016","Euro","41008"
"IIA10","Median earned income per person working","02074","074 Mountjoy B, Dublin City","2016","2016","Euro","37215"
"IIA10","Median earned income per person working","02075","075 North City, Dublin City","2016","2016","Euro","34066"
"IIA10","Median earned income per person working","02076","076 North Dock A, Dublin City","2016","2016","Euro","38963"
"IIA10","Median earned income per person working","02077","077 North Dock B, Dublin City","2016","2016","Euro","43325"
"IIA10","Median earned income per person working","02078","078 North Dock C, Dublin City","2016","2016","Euro","51499"
"IIA10","Median earned income per person working","02079","079 Phoenix Park, Dublin City","2016","2016","Euro","51553"
"IIA10","Median earned income per person working","02080","080 Priorswood A, Dublin City","2016","2016","Euro","35784"
"IIA10","Median earned income per person working","02081","081 Priorswood B, Dublin City","2016","2016","Euro",""
"IIA10","Median earned income per person working","02082","082 Priorswood C, Dublin City","2016","2016","Euro","37225"
"IIA10","Median earned income per person working","02083","083 Priorswood D, Dublin City","2016","2016","Euro","27188"
"IIA10","Median earned income per person working","02084","084 Priorswood E, Dublin City","2016","2016","Euro","17535"
"IIA10","Median earned income per person working","02085","085 Raheny-Foxfield, Dublin City","2016","2016","Euro","26235"
"IIA10","Median earned income per person working","02086","086 Raheny-Greendale, Dublin City","2016","2016","Euro","29845"
"IIA10","Median earned income per person working","02087","087 Raheny-St. Assam, Dublin City","2016","2016","Euro","26642"
"IIA10","Median earned income per person working","02088","088 Rotunda A, Dublin City","2016","2016","Euro","30691"
"IIA10","Median earned income per person working","02089","089 Rotunda B, Dublin City","2016","2016","Euro","35794"
"IIA10","Median earned income per person working","02090","090 Whitehall A, Dublin City","2016","2016","Euro","41279"
"IIA10","Median earned income per person working","02091","091 Whitehall B, Dublin City","2016","2016","Euro","36266"
"IIA10","Median earned income per person working","02092","092 Whitehall C, Dublin City","2016","2016","Euro","27205"
"IIA10","Median earned income per person working","02093","093 Whitehall D, Dublin City","2016","2016","Euro","27784"
"IIA10","Median earned income per person working","02094","094 Chapelizod, Dublin City","2016","2016","Euro","30330"
"IIA10","Median earned income per person working","02095","095 Cherry Orchard A, Dublin City","2016","2016","Euro","51808"
"IIA10","Median earned income per person working","02096","096 Carna, Dublin City","2016","2016","Euro","22024"
"IIA10","Median earned income per person working","02097","097 Cherry Orchard C, Dublin City","2016","2016","Euro","37375"
"IIA10","Median earned income per person working","02098","098 Crumlin A, Dublin City","2016","2016","Euro","22587"
